Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
CBH22,"12/31/2021 13:00",77.87,77.96,77.55,77.94,0.08,+0.10%,7653,N/A
CBH22,"12/31/2021 12:00",78.21,78.21,77.79,77.86,-0.35,-0.45%,5327,N/A
CBH22,"12/31/2021 11:00",78.25,78.32,77.99,78.21,-0.03,-0.04%,5287,N/A
CBH22,"12/31/2021 10:00",78.84,79.19,78.12,78.24,-0.59,-0.75%,5978,N/A
CBH22,"12/31/2021 09:00",78.87,79.02,78.57,78.83,-0.04,-0.05%,4226,N/A
CBH22,"12/31/2021 08:00",78.22,79.06,78.15,78.87,0.65,+0.83%,12506,N/A
CBH22,"12/31/2021 07:00",78.42,78.47,78.17,78.22,-0.2,-0.26%,6432,N/A
CBH22,"12/31/2021 06:00",78.57,78.6,77.76,78.42,-0.15,-0.19%,23999,N/A
CBH22,"12/31/2021 05:00",78.83,78.91,78.37,78.57,-0.27,-0.34%,7928,N/A
CBH22,"12/31/2021 04:00",79.13,79.17,78.79,78.84,-0.3,-0.38%,4280,N/A
CBH22,"12/31/2021 03:00",79.1,79.22,78.95,79.14,0.06,+0.08%,3111,N/A
CBH22,"12/31/2021 02:00",79.56,79.68,79.02,79.08,-0.47,-0.59%,5248,N/A
CBH22,"12/31/2021 01:00",79.55,79.64,79.42,79.55,0.01,+0.01%,1448,N/A
CBH22,"12/31/2021 00:00",79.29,79.59,79.27,79.54,0.24,+0.30%,1967,N/A
CBH22,"12/30/2021 23:00",79.15,79.32,79.08,79.3,0.15,+0.19%,888,N/A
CBH22,"12/30/2021 22:00",79.19,79.32,79.1,79.15,-0.05,-0.06%,5600,N/A
CBH22,"12/30/2021 21:00",78.88,79.21,78.85,79.2,0.33,+0.42%,1043,N/A
CBH22,"12/30/2021 20:00",79,79,78.57,78.87,-0.15,-0.19%,2115,N/A
CBH22,"12/30/2021 19:00",78.81,79.04,78.55,79.02,-0.12,-0.15%,2589,N/A
CBH22,"12/30/2021 16:00",78.99,79.24,78.99,79.14,0.16,+0.20%,201,N/A
CBH22,"12/30/2021 15:00",79.07,79.12,78.97,78.98,-0.09,-0.11%,837,N/A
CBH22,"12/30/2021 14:00",79.26,79.26,79,79.07,-0.19,-0.24%,1736,N/A
CBH22,"12/30/2021 13:00",79.49,79.68,79.18,79.26,-0.22,-0.28%,12970,N/A
CBH22,"12/30/2021 12:00",79.5,79.67,79.38,79.48,-0.03,-0.04%,5023,N/A
CBH22,"12/30/2021 11:00",79.53,79.58,79.4,79.51,-0.01,-0.01%,3781,N/A
CBH22,"12/30/2021 10:00",79.54,79.57,79.03,79.52,-0.01,-0.01%,16042,N/A
CBH22,"12/30/2021 09:00",79.71,80.02,79.36,79.53,-0.18,-0.23%,19121,N/A
CBH22,"12/30/2021 08:00",79,79.74,78.93,79.71,0.71,+0.90%,12876,N/A
CBH22,"12/30/2021 07:00",78.98,79.23,78.9,79,0.02,+0.03%,5990,N/A
CBH22,"12/30/2021 06:00",78.77,78.99,78.65,78.98,0.21,+0.27%,5428,N/A
CBH22,"12/30/2021 05:00",78.52,78.77,78.51,78.77,0.24,+0.31%,3698,N/A
CBH22,"12/30/2021 04:00",78.94,78.95,78.41,78.53,-0.41,-0.52%,11493,N/A
CBH22,"12/30/2021 03:00",79.01,79.07,78.73,78.94,-0.07,-0.09%,6078,N/A
CBH22,"12/30/2021 02:00",78.87,79.27,78.87,79.01,0.15,+0.19%,10169,N/A
CBH22,"12/30/2021 01:00",79.4,79.4,78.79,78.86,-0.55,-0.69%,2442,N/A
CBH22,"12/30/2021 00:00",79.17,79.41,78.98,79.41,0.25,+0.32%,1990,N/A
CBH22,"12/29/2021 23:00",79.43,79.44,79.16,79.16,-0.28,-0.35%,820,N/A
CBH22,"12/29/2021 22:00",79.44,79.48,79.39,79.44,0.01,+0.01%,358,N/A
CBH22,"12/29/2021 21:00",79.6,79.63,79.41,79.43,-0.17,-0.21%,764,N/A
CBH22,"12/29/2021 20:00",79.45,79.65,79.35,79.6,0.15,+0.19%,2333,N/A
CBH22,"12/29/2021 19:00",79.06,79.46,79.06,79.45,0.25,+0.32%,2295,N/A
CBH22,"12/29/2021 16:00",79.24,79.27,79.2,79.2,-0.03,-0.04%,28,N/A
CBH22,"12/29/2021 15:00",79.15,79.3,79.13,79.23,0.08,+0.10%,892,N/A
CBH22,"12/29/2021 14:00",79.12,79.2,79.11,79.15,0.03,+0.04%,1841,N/A
CBH22,"12/29/2021 13:00",79.08,79.27,78.89,79.12,0.04,+0.05%,11984,N/A
CBH22,"12/29/2021 12:00",78.91,79.28,78.81,79.08,0.17,+0.22%,8766,N/A
