Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
"12/31/2021 10:00",81.04,81.19,80.25,80.9,-0.15,-0.19%,117,N/A
"12/31/2021 09:00",81.18,81.25,80.9,81.05,-0.02,-0.02%,117,N/A
"12/31/2021 08:00",81.07,81.25,80.93,81.07,0.01,+0.01%,60,N/A
"12/31/2021 07:00",80.67,81.23,80.49,81.06,0.31,+0.38%,261,N/A
"12/31/2021 06:00",79.95,81.08,79.87,80.75,0.9,+1.13%,1340,N/A
"12/31/2021 05:00",80.02,80.15,79.85,79.85,-0.24,-0.30%,440,N/A
"12/31/2021 04:00",80,80.15,79.93,80.09,0.22,+0.28%,202,N/A
"12/31/2021 03:00",79.73,80,79.73,79.87,0.12,+0.15%,201,N/A
"12/31/2021 02:00",79.62,80,79.55,79.75,0.1,+0.13%,240,N/A
"12/31/2021 01:00",79.98,80.13,79.58,79.65,-0.4,-0.50%,192,N/A
"12/30/2021 10:00",79.85,80.35,79.85,80.05,0.16,+0.20%,617,N/A
"12/30/2021 09:00",79.87,80.08,79.73,79.89,-0.02,-0.03%,386,N/A
"12/30/2021 08:00",79.75,80,79.67,79.91,0.18,+0.23%,412,N/A
"12/30/2021 07:00",79.68,79.87,79.48,79.73,0.05,+0.06%,371,N/A
"12/30/2021 06:00",79.53,79.7,79.47,79.68,0.14,+0.18%,210,N/A
"12/30/2021 05:00",79.58,79.67,79.3,79.54,0,0.00%,313,N/A
"12/30/2021 04:00",79.59,79.63,79.33,79.54,-0.08,-0.10%,386,N/A
"12/30/2021 03:00",79.45,79.67,79.25,79.62,0.16,+0.20%,400,N/A
"12/30/2021 02:00",80.08,80.08,79.26,79.46,-0.61,-0.76%,597,N/A
"12/30/2021 01:00",80.5,80.65,79.64,80.07,-0.17,-0.21%,273,N/A
"12/29/2021 10:00",78.91,80.63,78.86,80.24,1.32,+1.67%,1798,N/A
"12/29/2021 09:00",79.6,79.79,78.11,78.92,-0.78,-0.98%,1343,N/A
"12/29/2021 08:00",79.85,80.25,79.7,79.7,-0.16,-0.20%,855,N/A
"12/29/2021 07:00",79.52,79.86,79.48,79.86,0.35,+0.44%,321,N/A
"12/29/2021 06:00",79.61,79.61,79.35,79.51,-0.11,-0.14%,279,N/A
"12/29/2021 05:00",79.5,79.73,79.1,79.62,0.13,+0.16%,415,N/A
"12/29/2021 04:00",79.56,79.57,78.85,79.49,-0.01,-0.01%,483,N/A
"12/29/2021 03:00",79.9,80,79.15,79.5,-0.33,-0.41%,673,N/A
"12/29/2021 02:00",80.11,80.13,79.4,79.83,-0.29,-0.36%,442,N/A
