Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
12/31/2021,22.273,22.273,22.273,22.273,-4.679,-17.36%,0,0
12/30/2021,26.952,26.952,26.952,26.952,-3.754,-12.23%,0,0
12/29/2021,30.706,30.706,30.706,30.706,-2.514,-7.57%,0,0
12/28/2021,33.22,33.22,33.22,33.22,0.028,+0.08%,0,0
12/27/2021,33.192,33.192,33.192,33.192,-3.452,-9.42%,0,0
12/23/2021,36.644,36.644,36.644,36.644,-7.749,-17.46%,0,0
12/22/2021,44.393,44.393,44.393,44.393,1.95,+4.59%,0,0
12/21/2021,42.443,42.443,42.443,42.443,11.038,+35.15%,0,0
12/20/2021,31.405,31.405,31.405,31.405,3.462,+12.39%,0,0
12/17/2021,27.943,27.943,27.943,27.943,1.431,+5.40%,0,0
12/16/2021,26.512,26.512,26.512,26.512,2.469,+10.27%,0,0
12/15/2021,24.043,24.043,24.043,24.043,-0.833,-3.35%,0,0
12/14/2021,24.876,24.876,24.876,24.876,-0.062,-0.25%,0,0
12/13/2021,24.938,24.938,24.938,24.938,1.029,+4.30%,0,0
12/10/2021,23.909,23.909,23.909,23.909,2.189,+10.08%,0,0
12/09/2021,21.72,21.72,21.72,21.72,-0.905,-4.00%,0,0
12/08/2021,22.625,22.625,22.625,22.625,2.822,+14.25%,0,0
12/07/2021,19.803,19.803,19.803,19.803,2.173,+12.33%,0,0
12/06/2021,17.63,17.63,17.63,17.63,1.024,+6.17%,0,0
12/03/2021,16.606,16.606,16.606,16.606,0.463,+2.87%,0,0
12/02/2021,16.143,16.143,16.143,16.143,0.305,+1.93%,0,0
12/01/2021,15.838,15.838,15.838,15.838,0.153,+0.98%,0,0
11/30/2021,15.685,15.685,15.685,15.685,-0.011,-0.07%,0,0
11/29/2021,15.696,15.696,15.696,15.696,0.259,+1.68%,0,0
11/26/2021,15.437,15.437,15.437,15.437,-0.327,-2.07%,0,0
11/24/2021,15.764,15.764,15.764,15.764,0.342,+2.22%,0,0
11/23/2021,15.422,15.422,15.422,15.422,0.584,+3.94%,0,0
11/22/2021,14.838,14.838,14.838,14.838,-0.245,-1.62%,0,0
11/19/2021,15.083,15.083,15.083,15.083,-0.662,-4.20%,0,0
11/18/2021,15.745,15.745,15.745,15.745,0.459,+3.00%,0,0
11/17/2021,15.286,15.286,15.286,15.286,-0.223,-1.44%,0,0
11/16/2021,15.509,15.509,15.509,15.509,0.942,+6.47%,0,0
11/15/2021,14.567,14.567,14.567,14.567,0.156,+1.08%,0,0
11/12/2021,14.411,14.411,14.411,14.411,-0.031,-0.21%,0,0
11/11/2021,14.442,14.442,14.442,14.442,0.038,+0.26%,0,0
11/10/2021,14.404,14.404,14.404,14.404,0.037,+0.26%,0,0
11/09/2021,14.367,14.367,14.367,14.367,-0.833,-5.48%,0,0
11/08/2021,15.2,15.2,15.2,15.2,0.646,+4.44%,0,0
11/05/2021,14.554,14.554,14.554,14.554,-0.351,-2.35%,0,0
11/04/2021,14.905,14.905,14.905,14.905,-0.367,-2.40%,0,0
11/03/2021,15.272,15.272,15.272,15.272,0.712,+4.89%,0,0
11/02/2021,14.56,14.56,14.56,14.56,0.43,+3.04%,0,0
11/01/2021,14.13,14.13,14.13,14.13,-0.473,-3.24%,0,0
10/29/2021,14.603,14.603,14.603,14.603,-1.192,-7.55%,0,0
10/28/2021,15.795,15.795,15.795,15.795,-0.618,-3.77%,0,0
10/27/2021,16.413,16.413,16.413,16.413,-0.028,-0.17%,0,0
10/26/2021,16.441,16.441,16.441,16.441,0.079,+0.48%,0,0
10/25/2021,16.362,16.362,16.362,16.362,0.226,+1.40%,0,0
10/22/2021,16.136,16.136,16.136,16.136,0.104,+0.65%,0,0
10/21/2021,16.032,16.032,16.032,16.032,-0.445,-2.70%,0,0
10/20/2021,16.477,16.477,16.477,16.477,0.114,+0.70%,0,0
10/19/2021,16.363,16.363,16.363,16.363,0.1,+0.61%,0,0
10/18/2021,16.263,16.263,16.263,16.263,0.009,+0.06%,0,0
10/15/2021,16.254,16.254,16.254,16.254,0.272,+1.70%,0,0
10/14/2021,15.982,15.982,15.982,15.982,1.253,+8.51%,0,0
10/13/2021,14.729,14.729,14.729,14.729,0.027,+0.18%,0,0
10/12/2021,14.702,14.702,14.702,14.702,0.4,+2.80%,0,0
10/11/2021,14.302,14.302,14.302,14.302,0.452,+3.26%,0,0
10/08/2021,13.85,13.85,13.85,13.85,-0.675,-4.65%,0,0
10/07/2021,14.525,14.525,14.525,14.525,-0.901,-5.84%,0,0
10/06/2021,15.426,15.426,15.426,15.426,-2.361,-13.27%,0,0
10/05/2021,17.787,17.787,17.787,17.787,0.731,+4.29%,0,0
10/04/2021,17.056,17.056,17.056,17.056,0.814,+5.01%,0,0
10/01/2021,16.242,16.242,16.242,16.242,-0.059,-0.36%,0,0
09/30/2021,16.301,16.301,16.301,16.301,1.086,+7.14%,0,0
09/29/2021,15.215,15.215,15.215,15.215,0.669,+4.60%,0,0
09/28/2021,14.546,14.546,14.546,14.546,-0.113,-0.77%,0,0
09/27/2021,14.659,14.659,14.659,14.659,1.193,+8.86%,0,0
09/24/2021,13.466,13.466,13.466,13.466,0.629,+4.90%,0,0
09/23/2021,12.837,12.837,12.837,12.837,0.381,+3.06%,0,0
09/22/2021,12.456,12.456,12.456,12.456,0.164,+1.33%,0,0
09/21/2021,12.292,12.292,12.292,12.292,-0.093,-0.75%,0,0
09/20/2021,12.385,12.385,12.385,12.385,0.273,+2.25%,0,0
09/17/2021,12.112,12.112,12.112,12.112,0.064,+0.53%,0,0
09/16/2021,12.048,12.048,12.048,12.048,-0.462,-3.69%,0,0
09/15/2021,12.51,12.51,12.51,12.51,0.202,+1.64%,0,0
