Time,Open,High,Low,Last,Change,%Chg,Volume
12/31/2021,55.22,55.785,55.13,55.5,0.14,+0.25%,13241100
12/30/2021,55.72,56.16,55.31,55.36,-0.34,-0.61%,13589900
12/29/2021,55.97,56.24,55.43,55.7,-0.36,-0.64%,15109000
12/28/2021,56.24,56.608,55.75,56.06,-0.04,-0.07%,17940700
12/27/2021,54.72,56.15,54.26,56.1,1.2,+2.19%,21742100
12/23/2021,55.11,55.66,54.88,54.9,0.03,+0.05%,16685200
12/22/2021,54.58,55.24,53.92,54.87,0.35,+0.64%,21103000
12/21/2021,53.55,54.715,53.53,54.52,1.51,+2.85%,25159600
12/20/2021,52.23,53.05,51.66,53.01,-1.36,-2.50%,36330700
12/17/2021,55.1,55.35,53.88,54.37,-1.13,-2.04%,34834500
12/16/2021,55.63,56.635,55.41,55.5,0.35,+0.63%,26865900
12/15/2021,55.34,55.475,53.92,55.15,-0.27,-0.49%,33858000
12/14/2021,55.31,56.2702,55.23,55.42,-0.23,-0.41%,28798800
12/13/2021,56.73,56.9,55.38,55.65,-1.59,-2.78%,28603900
12/10/2021,57.43,57.47,56.2201,57.24,0.42,+0.74%,19525600
12/09/2021,56.9,57.05,56.47,56.82,-0.44,-0.77%,23399400
12/08/2021,57.59,57.87,57.14,57.26,-0.01,-0.02%,23514900
12/07/2021,56.74,57.81,56.67,57.27,1.31,+2.34%,36843300
12/06/2021,55.99,56.62,55.3,55.96,0.82,+1.49%,31969500
12/03/2021,56.33,56.58,54.61,55.14,-0.44,-0.79%,37940100
12/02/2021,54.04,55.78,53.4,55.58,1.57,+2.91%,50371900
12/01/2021,55.87,56.38,53.98,54.01,-0.58,-1.06%,44799600
11/30/2021,54.85,55.68,54.32,54.59,-1.31,-2.34%,46261900
11/29/2021,56.79,57.36,55.72,55.9,0.32,+0.58%,35441200
11/26/2021,55.04,55.76,54.14,55.58,-2.33,-4.02%,44727200
11/24/2021,57.05,58.24,56.9725,57.91,0.56,+0.98%,21434300
11/23/2021,56.37,57.54,56.32,57.35,1.71,+3.07%,33863600
11/22/2021,54.59,56.48,54.58,55.64,0.97,+1.77%,33897300
11/19/2021,55.66,55.81,54.55,54.67,-2.22,-3.90%,45689800
11/18/2021,57.1,57.545,56.2,56.89,-0.34,-0.59%,28955400
11/17/2021,57.55,58.38,57.03,57.23,-0.89,-1.53%,23669400
11/16/2021,58.2,58.59,57.84,58.12,0.09,+0.16%,20479400
11/15/2021,57.5,58.365,57.01,58.03,0.48,+0.83%,21375600
11/12/2021,57.45,57.78,57.2,57.55,-0.14,-0.24%,17094900
11/11/2021,57.51,58.08,57.51,57.69,0.22,+0.38%,24498200
11/10/2021,58.78,58.97,57.125,57.47,-1.56,-2.64%,36016400
11/09/2021,58.86,59.045,58.02,59.03,0.24,+0.41%,19688900
11/08/2021,58.75,59.4,58.465,58.79,0.53,+0.91%,20011100
11/05/2021,58.3,58.52,57.775,58.26,0.75,+1.30%,22603500
11/04/2021,58.28,58.43,56.99,57.51,0.08,+0.14%,38181600
11/03/2021,57.21,58.03,56.97,57.43,-0.48,-0.83%,23337300
11/02/2021,58.12,58.57,57.72,57.91,-0.55,-0.94%,17062600
11/01/2021,58.04,58.62,57.88,58.46,0.99,+1.72%,24828300
10/29/2021,58.14,58.27,57.23,57.47,-0.38,-0.66%,21998900
10/28/2021,57.13,57.895,57.12,57.85,0.41,+0.71%,23367500
10/27/2021,58.5,58.82,57.31,57.44,-1.7,-2.87%,34003700
10/26/2021,59,59.41,58.7796,59.14,0.34,+0.58%,22751500
10/25/2021,58.66,59.12,58.35,58.8,0.85,+1.47%,25056000
10/22/2021,57.62,57.995,57.075,57.95,0.54,+0.94%,21502500
10/21/2021,58.04,58.25,56.9401,57.41,-1.08,-1.85%,32120800
10/20/2021,57.58,58.5,57.35,58.49,0.47,+0.81%,25106200
10/19/2021,57.61,58.22,57.295,58.02,0.65,+1.13%,22276200
10/18/2021,57.89,58.21,57.05,57.37,0.04,+0.07%,32628700
10/15/2021,57.69,57.91,57.3,57.33,0.28,+0.49%,22677400
10/14/2021,57,57.29,56.48,57.05,0.69,+1.22%,23396100
10/13/2021,56,56.65,55.37,56.36,-0.05,-0.09%,28951200
10/12/2021,56.25,56.952,56.021,56.41,0.05,+0.09%,35519100
10/11/2021,57.42,57.59,56.305,56.36,-0.21,-0.37%,43010700
10/08/2021,55.46,56.7,55.33,56.57,1.69,+3.08%,43100200
10/07/2021,54.6,55.18,54.33,54.88,0.42,+0.77%,38798000
10/06/2021,54.13,54.755,53.5,54.46,-0.58,-1.05%,50087400
10/05/2021,55.5,56.05,54.465,55.04,0.32,+0.58%,49014800
10/04/2021,54.415,55.315,54.165,54.72,0.88,+1.63%,57407800
10/01/2021,52.47,53.89,52.47,53.84,1.75,+3.36%,41656000
09/30/2021,52.74,53.03,52.09,52.09,-0.8,-1.51%,44599400
09/29/2021,52.84,53.22,52.19,52.89,0,0.00%,34947100
09/28/2021,53.21,53.83,52.77,52.89,0.18,+0.34%,66487600
09/27/2021,52.02,52.92,51.95,52.71,1.81,+3.56%,40848600
09/24/2021,50.25,51.16,50.15,50.9,0.38,+0.75%,27751500
09/23/2021,49.08,50.67,48.85,50.52,1.71,+3.50%,24867100
09/22/2021,48.15,49.38,48.15,48.81,1.46,+3.08%,39626000
09/21/2021,47.8,48.05,46.85,47.35,0.11,+0.23%,25661700
09/20/2021,47.55,47.81,46.47,47.24,-2.08,-4.22%,42830000
09/17/2021,49.44,50.22,49.191,49.32,-0.37,-0.74%,32229500
09/16/2021,50.21,50.22,49.415,49.69,-0.57,-1.13%,30321800
09/15/2021,49.14,50.3,49.06,50.26,1.81,+3.74%,38347400
09/14/2021,49.6,49.689,48.235,48.45,-0.71,-1.44%,29467800
09/13/2021,48.41,49.4905,48.41,49.16,1.37,+2.87%,34249800
09/10/2021,48.55,48.65,47.64,47.79,-0.02,-0.04%,18756500
09/09/2021,47.39,48.56,47.135,47.81,0.1,+0.21%,25264700
09/08/2021,48.6,48.92,47.68,47.71,-0.62,-1.28%,21899100
09/07/2021,48.39,48.995,48.15,48.33,-0.29,-0.60%,21240800
09/03/2021,48.8,49.16,48.3904,48.62,-0.28,-0.57%,19583900
09/02/2021,48.13,49.29,48.13,48.9,1.21,+2.54%,30821600
09/01/2021,48.35,48.63,47.51,47.69,-0.71,-1.47%,31729900
08/31/2021,48.49,48.93,48.28,48.4,-0.33,-0.68%,26936500
08/30/2021,49.5,49.69,48.71,48.73,-0.58,-1.18%,15908800
08/27/2021,48.63,49.64,48.52,49.31,1.28,+2.67%,23101300
08/26/2021,48.49,48.76,47.95,48.03,-0.74,-1.52%,20732600
08/25/2021,48.3,49.035,47.98,48.77,0.37,+0.76%,19908700
08/24/2021,48.01,48.645,47.93,48.4,0.79,+1.66%,22691000
08/23/2021,47,47.74,46.9,47.61,1.72,+3.75%,29352200
08/20/2021,45.37,46.175,45.17,45.89,0.1,+0.22%,30793700
