Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
"12/31/2021 13:00",73.55,73.63,73.23,73.57,0.03,+0.04%,855,N/A
"12/31/2021 12:00",73.82,73.82,73.47,73.54,-0.3,-0.41%,603,N/A
"12/31/2021 11:00",73.87,73.96,73.65,73.84,-0.1,-0.14%,269,N/A
"12/31/2021 10:00",74.41,74.7,73.87,73.94,-0.52,-0.70%,362,N/A
"12/31/2021 09:00",74.33,74.56,74.21,74.46,0.04,+0.05%,114,N/A
"12/31/2021 08:00",73.79,74.51,73.75,74.42,0.61,+0.83%,789,N/A
"12/31/2021 07:00",73.91,73.96,73.78,73.81,-0.12,-0.16%,247,N/A
"12/31/2021 06:00",74.01,74.02,73.41,73.93,-0.07,-0.09%,969,N/A
"12/31/2021 05:00",74.27,74.34,73.92,74,-0.31,-0.42%,1284,N/A
"12/31/2021 04:00",74.46,74.48,74.24,74.31,-0.2,-0.27%,219,N/A
"12/31/2021 03:00",74.49,74.59,74.41,74.51,0,0.00%,130,N/A
"12/31/2021 02:00",74.98,75.02,74.47,74.51,-0.39,-0.52%,263,N/A
"12/31/2021 01:00",74.87,74.99,74.84,74.9,0.05,+0.07%,21,N/A
"12/31/2021 00:00",74.73,74.92,74.73,74.85,0.23,+0.31%,61,N/A
"12/30/2021 23:00",74.7,74.7,74.56,74.62,-0.03,-0.04%,17,N/A
"12/30/2021 22:00",74.63,74.75,74.58,74.65,0.01,+0.01%,41,N/A
"12/30/2021 21:00",74.36,74.64,74.36,74.64,0.33,+0.44%,13,N/A
"12/30/2021 20:00",74.36,74.36,74.12,74.31,-0.14,-0.19%,59,N/A
"12/30/2021 19:00",74.47,74.55,74.2,74.45,-0.03,-0.04%,36,N/A
"12/30/2021 15:00",74.66,74.67,74.48,74.48,-0.13,-0.17%,194,N/A
"12/30/2021 14:00",74.7,74.77,74.61,74.61,-0.18,-0.24%,138,N/A
"12/30/2021 13:00",74.94,75.09,74.68,74.79,-0.12,-0.16%,661,N/A
"12/30/2021 12:00",74.87,75.04,74.76,74.91,0.04,+0.05%,402,N/A
"12/30/2021 11:00",74.98,75.01,74.79,74.87,-0.11,-0.15%,128,N/A
"12/30/2021 10:00",74.97,75,74.6,74.98,0.02,+0.03%,736,N/A
"12/30/2021 09:00",75.11,75.33,74.83,74.96,-0.14,-0.19%,1055,N/A
"12/30/2021 08:00",74.49,75.14,74.47,75.1,0.6,+0.81%,492,N/A
"12/30/2021 07:00",74.48,74.67,74.39,74.5,0.07,+0.09%,250,N/A
"12/30/2021 06:00",74.29,74.45,74.21,74.43,0.14,+0.19%,348,N/A
"12/30/2021 05:00",74.06,74.3,74.06,74.29,0.22,+0.30%,107,N/A
"12/30/2021 04:00",74.37,74.37,73.97,74.07,-0.3,-0.40%,318,N/A
"12/30/2021 03:00",74.44,74.44,74.25,74.37,-0.06,-0.08%,99,N/A
"12/30/2021 02:00",74.44,74.66,74.36,74.43,0.09,+0.12%,102,N/A
"12/30/2021 01:00",74.67,74.67,74.34,74.34,-0.46,-0.61%,60,N/A
"12/30/2021 00:00",74.6,74.8,74.47,74.8,0.19,+0.25%,80,N/A
"12/29/2021 23:00",74.79,74.8,74.61,74.61,-0.19,-0.25%,8,N/A
"12/29/2021 22:00",74.8,74.8,74.8,74.8,-0.03,-0.04%,1,N/A
"12/29/2021 21:00",74.89,74.98,74.83,74.83,-0.05,-0.07%,8,N/A
"12/29/2021 20:00",74.85,74.96,74.85,74.88,0.15,+0.20%,14,N/A
"12/29/2021 19:00",74.61,74.73,74.61,74.73,0.03,+0.04%,6,N/A
"12/29/2021 15:00",74.59,74.7,74.57,74.7,0.14,+0.19%,54,N/A
"12/29/2021 14:00",74.51,74.61,74.51,74.56,0.03,+0.04%,156,N/A
"12/29/2021 13:00",74.47,74.68,74.31,74.53,0.15,+0.20%,524,N/A
"12/29/2021 12:00",74.3,74.61,74.25,74.38,0.09,+0.12%,265,N/A
"12/29/2021 11:00",73.8,74.3,73.68,74.29,0.55,+0.75%,612,N/A
"12/29/2021 10:00",74.95,74.95,73.56,73.74,-1.2,-1.60%,1227,N/A
"12/29/2021 09:00",74.06,75.2,73.94,74.94,0.89,+1.20%,1485,N/A
"12/29/2021 08:00",74.02,74.06,73.84,74.05,0.06,+0.08%,465,N/A
"12/29/2021 07:00",73.84,74.06,73.79,73.99,0.2,+0.27%,376,N/A
"12/29/2021 06:00",73.75,73.84,73.66,73.79,0,0.00%,429,N/A
"12/29/2021 05:00",73.98,73.98,73.62,73.79,-0.21,-0.28%,439,N/A
"12/29/2021 04:00",74.12,74.12,73.98,74,-0.12,-0.16%,206,N/A
"12/29/2021 03:00",74.26,74.29,73.98,74.12,-0.09,-0.12%,376,N/A
"12/29/2021 02:00",74.28,74.45,74.19,74.21,-0.03,-0.04%,275,N/A
"12/29/2021 01:00",74.23,74.3,74.16,74.24,-0.02,-0.03%,220,N/A
