Time,Open,High,Low,Last,Change,%Chg,Volume
"12/31/2021 19:00",55.58,55.58,55.47,55.47,-0.01,-0.02%,760
"12/31/2021 18:00",55.58,55.59,55.48,55.48,-0.12,-0.22%,2584
"12/31/2021 17:00",55.49,55.6,55.45,55.6,0.15,+0.27%,3852
"12/31/2021 16:00",55.46,55.52,55.45,55.45,-0.05,-0.09%,27028
"12/31/2021 15:00",55.42,55.785,55.415,55.5,0.08,+0.14%,3971913
"12/31/2021 14:00",55.61,55.61,55.35,55.42,-0.195,-0.35%,1068288
"12/31/2021 13:00",55.45,55.62,55.4105,55.615,0.165,+0.30%,1158915
"12/31/2021 12:00",55.405,55.469,55.235,55.45,0.045,+0.08%,1038596
"12/31/2021 11:00",55.34,55.52,55.27,55.405,0.07,+0.13%,978472
"12/31/2021 10:00",55.43,55.57,55.24,55.335,-0.095,-0.17%,1865677
"12/31/2021 09:00",55.07,55.67,55.07,55.43,0.36,+0.65%,2271946
"12/31/2021 08:00",55.02,55.07,55,55.07,0.01,+0.02%,14536
"12/31/2021 07:00",55.2,55.2,55,55.06,-0.31,-0.56%,17208
"12/31/2021 05:00",55.37,55.37,55.37,55.37,0.12,+0.22%,150
"12/30/2021 19:00",55.3,55.3,55.25,55.25,-0.07,-0.13%,918
"12/30/2021 18:00",55.3,55.32,55.3,55.32,0.06,+0.11%,2656
"12/30/2021 17:00",55.3,55.3,55.26,55.26,-0.04,-0.07%,5425
"12/30/2021 16:00",55.36,55.36,55.3,55.3,-0.06,-0.11%,6928
"12/30/2021 15:00",55.4601,55.465,55.31,55.36,-0.11,-0.20%,3605102
"12/30/2021 14:00",55.64,55.65,55.445,55.47,-0.1799,-0.32%,1808581
"12/30/2021 13:00",55.605,55.6899,55.55,55.6499,0.0464,+0.08%,975666
"12/30/2021 12:00",55.58,55.61,55.46,55.6035,0.0135,+0.02%,1033999
"12/30/2021 11:00",55.67,55.72,55.5237,55.59,-0.08,-0.14%,1212425
"12/30/2021 10:00",55.92,55.97,55.552,55.67,-0.2438,-0.44%,1687568
"12/30/2021 09:00",55.71,56.16,55.68,55.9138,0.1638,+0.29%,1972461
"12/30/2021 08:00",55.69,55.82,55.57,55.75,0.01,+0.02%,11341
"12/30/2021 07:00",55.59,55.74,55.56,55.74,0.27,+0.49%,3222
"12/30/2021 05:00",55.75,55.75,55.47,55.47,-0.32,-0.57%,770
"12/30/2021 04:00",55.79,55.79,55.79,55.79,0.18,+0.32%,200
"12/29/2021 19:00",55.66,55.66,55.6,55.61,0.06,+0.11%,4396
"12/29/2021 18:00",55.61,55.61,55.55,55.55,-0.16,-0.29%,791
"12/29/2021 17:00",55.7,55.79,55.7,55.71,0.01,+0.02%,7344
"12/29/2021 16:00",55.71,55.76,55.59,55.7,0,0.00%,43709
"12/29/2021 15:00",55.8234,55.92,55.69,55.7,-0.13,-0.23%,3224588
"12/29/2021 14:00",55.91,55.91,55.76,55.83,-0.07,-0.13%,848214
"12/29/2021 13:00",55.89,56.01,55.84,55.9,0.01,+0.02%,1621392
"12/29/2021 12:00",55.73,55.91,55.55,55.89,0.17,+0.31%,1280708
"12/29/2021 11:00",56.135,56.135,55.61,55.72,-0.41,-0.73%,1788969
"12/29/2021 10:00",55.63,56.24,55.63,56.13,0.49,+0.88%,2880118
"12/29/2021 09:00",55.96,55.99,55.43,55.64,-0.34,-0.61%,2223182
"12/29/2021 08:00",55.8701,56.55,55.8701,55.98,0.07,+0.13%,23643
"12/29/2021 07:00",56.03,56.03,55.85,55.91,-0.16,-0.29%,10228
"12/29/2021 06:00",56.07,56.08,56.07,56.07,-0.15,-0.27%,300
"12/29/2021 05:00",56.22,56.22,56.22,56.22,-0.03,-0.05%,100
"12/28/2021 19:00",56.21,56.25,56.15,56.25,0.01,+0.02%,676
"12/28/2021 18:00",56.13,56.31,56.07,56.24,0.0601,+0.11%,1114
