Time,Open,High,Low,Last,Change,%Chg,Volume
"12/31/2021 15:00",55.42,55.785,55.415,55.5,0.08,+0.14%,3971913
"12/31/2021 14:00",55.61,55.61,55.35,55.42,-0.195,-0.35%,1068288
"12/31/2021 13:00",55.45,55.62,55.4105,55.615,0.165,+0.30%,1158915
"12/31/2021 12:00",55.405,55.469,55.235,55.45,0.045,+0.08%,1038596
"12/31/2021 11:00",55.34,55.52,55.27,55.405,0.07,+0.13%,978472
"12/31/2021 10:00",55.43,55.57,55.24,55.335,-0.095,-0.17%,1865677
"12/31/2021 09:00",55.22,55.67,55.13,55.43,0.07,+0.13%,2259585
"12/30/2021 15:00",55.4601,55.465,55.31,55.36,-0.11,-0.20%,3605102
"12/30/2021 14:00",55.64,55.65,55.445,55.47,-0.1799,-0.32%,1808581
"12/30/2021 13:00",55.605,55.6899,55.55,55.6499,0.0464,+0.08%,975666
"12/30/2021 12:00",55.58,55.61,55.46,55.6035,0.0135,+0.02%,1033999
"12/30/2021 11:00",55.67,55.72,55.5237,55.59,-0.08,-0.14%,1212425
"12/30/2021 10:00",55.92,55.97,55.552,55.67,-0.2438,-0.44%,1687568
"12/30/2021 09:00",55.72,56.16,55.72,55.9138,0.2138,+0.38%,1965179
"12/29/2021 15:00",55.8234,55.92,55.69,55.7,-0.13,-0.23%,3224588
"12/29/2021 14:00",55.91,55.91,55.76,55.83,-0.07,-0.13%,848214
"12/29/2021 13:00",55.89,56.01,55.84,55.9,0.01,+0.02%,1621392
"12/29/2021 12:00",55.73,55.91,55.55,55.89,0.17,+0.31%,1280708
"12/29/2021 11:00",56.135,56.135,55.61,55.72,-0.41,-0.73%,1788969
"12/29/2021 10:00",55.63,56.24,55.63,56.13,0.49,+0.88%,2880118
"12/29/2021 09:00",55.97,55.97,55.43,55.64,-0.42,-0.75%,2219640
"12/28/2021 15:00",56.085,56.26,56.02,56.06,-0.025,-0.04%,3878368
"12/28/2021 14:00",56.125,56.18,56.025,56.085,-0.035,-0.06%,1877238
"12/28/2021 13:00",55.87,56.125,55.845,56.12,0.24,+0.43%,1144937
"12/28/2021 12:00",56.02,56.025,55.75,55.88,-0.1499,-0.27%,1565428
"12/28/2021 11:00",55.95,56.09,55.82,56.0299,0.0799,+0.14%,2073259
"12/28/2021 10:00",56.4,56.55,55.945,55.95,-0.45,-0.80%,2751046
"12/28/2021 09:00",56.24,56.608,55.99,56.4,0.3,+0.53%,2856097
"12/27/2021 15:00",56,56.15,55.89,56.1,0.1,+0.18%,6701577
"12/27/2021 14:00",55.9,56.01,55.855,56,0.095,+0.17%,1757071
"12/27/2021 13:00",55.7757,55.92,55.74,55.905,0.13,+0.23%,1498994
"12/27/2021 12:00",55.685,55.8,55.67,55.775,0.095,+0.17%,1352971
"12/27/2021 11:00",55.405,55.69,55.36,55.68,0.275,+0.50%,2190859
"12/27/2021 10:00",54.77,55.44,54.71,55.405,0.645,+1.18%,2986181
"12/27/2021 09:00",54.72,55.1801,54.26,54.76,-0.12,-0.22%,2985189
"12/23/2021 15:00",55.13,55.18,54.88,54.88,-0.255,-0.46%,3775978
"12/23/2021 14:00",55.09,55.16,55.03,55.135,0.05,+0.09%,1130858
"12/23/2021 13:00",55.16,55.175,54.97,55.085,-0.065,-0.12%,982364
"12/23/2021 12:00",55.15,55.265,55.11,55.15,-0.005,-0.01%,950229
"12/23/2021 11:00",55.245,55.29,55.105,55.155,-0.09,-0.16%,1978659
"12/23/2021 10:00",55.16,55.31,54.99,55.245,0.075,+0.14%,2374527
"12/23/2021 09:00",55.11,55.66,54.96,55.17,0.3,+0.55%,2580947
"12/22/2021 15:00",54.84,54.94,54.77,54.87,0.0301,+0.05%,4748048
"12/22/2021 14:00",55.08,55.08,54.8201,54.8399,-0.2401,-0.44%,1560083
"12/22/2021 13:00",55.19,55.21,55.02,55.08,-0.11,-0.20%,1580397
"12/22/2021 12:00",54.97,55.24,54.94,55.19,0.225,+0.41%,1612423
"12/22/2021 11:00",54.905,55.01,54.82,54.965,0.065,+0.12%,1964450
"12/22/2021 10:00",54.24,54.975,54.21,54.9,0.66,+1.22%,3399813
"12/22/2021 09:00",54.58,54.615,53.92,54.24,-0.28,-0.51%,3125212
"12/21/2021 15:00",54.55,54.715,54.37,54.52,-0.035,-0.06%,7724404
"12/21/2021 14:00",54.49,54.58,54.385,54.555,0.065,+0.12%,1352260
"12/21/2021 13:00",54.59,54.65,54.44,54.49,-0.105,-0.19%,1463732
"12/21/2021 12:00",54.33,54.64,54.3,54.595,0.265,+0.49%,2250514
"12/21/2021 11:00",54,54.4,53.94,54.33,0.32,+0.59%,1910242
"12/21/2021 10:00",53.86,54.32,53.86,54.01,0.15,+0.28%,4181236
"12/21/2021 09:00",53.55,54.065,53.53,53.86,0.85,+1.60%,3725346
"12/20/2021 15:00",52.645,53.05,52.625,53.01,0.36,+0.68%,9698612
"12/20/2021 14:00",52.59,52.81,52.54,52.65,0.055,+0.10%,2326137
"12/20/2021 13:00",52.4933,52.69,52.42,52.595,0.095,+0.18%,2641814
"12/20/2021 12:00",52.36,52.65,52.3,52.5,0.14,+0.27%,2544209
"12/20/2021 11:00",52.14,52.375,52.025,52.36,0.214,+0.41%,3074531
"12/20/2021 10:00",52.15,52.8,51.98,52.146,-0.004,-0.01%,4613012
"12/20/2021 09:00",52.23,52.48,51.66,52.15,-2.23,-4.10%,5895419
"12/17/2021 15:00",54.485,54.675,54.28,54.38,-0.11,-0.20%,8008576
"12/17/2021 14:00",54.79,54.82,54.45,54.49,-0.29,-0.53%,2705506
"12/17/2021 13:00",54.79,54.87,54.705,54.78,-0.01,-0.02%,3027167
"12/17/2021 12:00",54.85,54.88,54.595,54.79,-0.06,-0.11%,2726649
"12/17/2021 11:00",54.85,55.14,54.725,54.85,0,0.00%,3959990
"12/17/2021 10:00",54.3,54.98,53.88,54.85,0.55,+1.01%,5910030
"12/17/2021 09:00",55.1,55.35,54.18,54.3,-1.2,-2.16%,4440649
"12/16/2021 15:00",55.62,55.78,55.41,55.5,-0.115,-0.21%,6013059
"12/16/2021 14:00",56.19,56.23,55.47,55.615,-0.575,-1.02%,2980602
"12/16/2021 13:00",56.18,56.4,56.17,56.19,0.01,+0.02%,2412792
"12/16/2021 12:00",56.385,56.52,56.16,56.18,-0.21,-0.37%,2546935
"12/16/2021 11:00",56.52,56.635,56.33,56.39,-0.135,-0.24%,3800478
"12/16/2021 10:00",55.87,56.54,55.8,56.525,0.66,+1.18%,3619888
"12/16/2021 09:00",55.63,56.07,55.52,55.865,0.715,+1.30%,3375165
"12/15/2021 15:00",54.69,55.475,54.69,55.15,0.46,+0.84%,9724992
"12/15/2021 14:00",54.635,55.07,54.46,54.69,0.05,+0.09%,4804745
"12/15/2021 13:00",54.6,54.69,54.53,54.64,0.04,+0.07%,1523007
"12/15/2021 12:00",54.41,54.7,54.405,54.6,0.1926,+0.35%,1857072
"12/15/2021 11:00",54.22,54.455,54.16,54.4074,0.1974,+0.36%,2863450
"12/15/2021 10:00",54.31,54.42,53.92,54.21,-0.095,-0.17%,5565184
"12/15/2021 09:00",55.34,55.4,54.1,54.305,-1.115,-2.01%,4353591
"12/14/2021 15:00",55.52,55.65,55.23,55.42,-0.11,-0.20%,7344168
"12/14/2021 14:00",55.7,55.84,55.465,55.53,-0.18,-0.32%,2493034
"12/14/2021 13:00",55.7342,55.895,55.68,55.71,-0.02,-0.04%,2087077
"12/14/2021 12:00",55.68,55.915,55.58,55.73,0.05,+0.09%,1874035
"12/14/2021 11:00",55.82,56.04,55.68,55.68,-0.15,-0.27%,3148794
"12/14/2021 10:00",56.075,56.2702,55.76,55.83,-0.25,-0.45%,4441094
"12/14/2021 09:00",55.31,56.2099,55.2331,56.08,0.43,+0.77%,4334064
"12/13/2021 15:00",55.755,56,55.625,55.65,-0.105,-0.19%,5737870
"12/13/2021 14:00",55.68,55.935,55.675,55.755,0.0666,+0.12%,1750647
"12/13/2021 13:00",55.855,55.86,55.641,55.6884,-0.1716,-0.31%,1346719
"12/13/2021 12:00",55.63,56.015,55.55,55.86,0.225,+0.40%,2213824
"12/13/2021 11:00",55.69,55.7199,55.38,55.635,-0.05,-0.09%,4170537
"12/13/2021 10:00",56.01,56.22,55.6,55.685,-0.325,-0.58%,5478834
"12/13/2021 09:00",56.73,56.9,55.92,56.01,-1.21,-2.11%,4457800
"12/10/2021 15:00",56.75,57.29,56.75,57.22,0.4699,+0.83%,4348778
"12/10/2021 14:00",56.62,56.99,56.581,56.7501,0.1351,+0.24%,2320923
"12/10/2021 13:00",56.42,56.62,56.38,56.615,0.195,+0.35%,1106238
"12/10/2021 12:00",56.58,56.705,56.4,56.42,-0.155,-0.27%,1482251
"12/10/2021 11:00",56.63,56.66,56.2201,56.575,-0.055,-0.10%,2172897
"12/10/2021 10:00",56.49,56.7,56.38,56.63,0.1401,+0.25%,3381476
"12/10/2021 09:00",57.43,57.47,56.43,56.4899,-0.3301,-0.58%,2926956
"12/09/2021 15:00",56.695,56.98,56.64,56.82,0.1201,+0.21%,5452124
"12/09/2021 14:00",56.85,56.94,56.6501,56.6999,-0.1571,-0.28%,2028420
"12/09/2021 13:00",56.88,56.94,56.765,56.857,-0.028,-0.05%,2357256
"12/09/2021 12:00",56.61,56.9,56.47,56.885,0.275,+0.49%,1614024
"12/09/2021 11:00",56.83,56.84,56.57,56.61,-0.21,-0.37%,2188337
"12/09/2021 10:00",56.65,57.05,56.55,56.82,0.16,+0.28%,3238847
"12/09/2021 09:00",56.9,57.01,56.53,56.66,-0.6,-1.05%,4555821
"12/08/2021 15:00",57.19,57.38,57.17,57.26,0.075,+0.13%,4975393
"12/08/2021 14:00",57.29,57.35,57.14,57.185,-0.0951,-0.17%,2025583
"12/08/2021 13:00",57.3,57.3695,57.1599,57.2801,-0.0279,-0.05%,1617684
"12/08/2021 12:00",57.33,57.4,57.26,57.308,-0.027,-0.05%,1732895
"12/08/2021 11:00",57.225,57.55,57.19,57.335,0.115,+0.20%,3254159
"12/08/2021 10:00",57.43,57.55,57.19,57.22,-0.22,-0.38%,3552708
"12/08/2021 09:00",57.59,57.87,57.32,57.44,0.19,+0.33%,4028494
"12/07/2021 15:00",57.47,57.615,57.04,57.25,-0.22,-0.38%,11831283
"12/07/2021 14:00",57.44,57.53,57.3499,57.47,0.04,+0.07%,2253246
"12/07/2021 13:00",57.59,57.62,57.22,57.43,-0.16,-0.28%,3165449
"12/07/2021 12:00",57.487,57.6435,57.4545,57.59,0.1,+0.17%,2036512
"12/07/2021 11:00",57.77,57.8,57.44,57.49,-0.27,-0.47%,3044861
"12/07/2021 10:00",57.55,57.81,57.46,57.76,0.216,+0.38%,5253191
"12/07/2021 09:00",56.74,57.56,56.67,57.544,1.594,+2.85%,5775685
"12/06/2021 15:00",56.28,56.385,55.875,55.95,-0.34,-0.60%,6229519
"12/06/2021 14:00",56.569,56.62,56.255,56.29,-0.28,-0.49%,2489279
"12/06/2021 13:00",56.27,56.6,56.23,56.57,0.29,+0.52%,2586464
"12/06/2021 12:00",55.94,56.28,55.89,56.28,0.345,+0.62%,2180332
"12/06/2021 11:00",56.31,56.32,55.82,55.935,-0.37,-0.66%,3571532
"12/06/2021 10:00",55.75,56.35,55.51,56.305,0.555,+1.00%,6228262
"12/06/2021 09:00",55.99,56.13,55.3,55.75,0.61,+1.11%,5728513
"12/03/2021 15:00",54.735,55.305,54.61,55.14,0.4,+0.73%,7978507
"12/03/2021 14:00",54.94,55.01,54.675,54.74,-0.21,-0.38%,3792624
"12/03/2021 13:00",55.05,55.325,54.89,54.95,-0.11,-0.20%,2793645
"12/03/2021 12:00",54.85,55.335,54.76,55.06,0.22,+0.40%,3916067
"12/03/2021 11:00",55.23,55.47,54.82,54.84,-0.39,-0.71%,4978445
"12/03/2021 10:00",55.71,55.95,55.16,55.23,-0.48,-0.86%,6821255
"12/03/2021 09:00",56.33,56.58,55.52,55.71,0.16,+0.29%,4440839
"12/02/2021 15:00",55.64,55.78,55.455,55.55,-0.09,-0.16%,8880070
"12/02/2021 14:00",55.67,55.77,55.44,55.64,-0.03,-0.05%,3708101
"12/02/2021 13:00",55.36,55.675,55.13,55.67,0.31,+0.56%,3510143
"12/02/2021 12:00",55.38,55.555,55.32,55.36,-0.02,-0.04%,5801051
"12/02/2021 11:00",55.24,55.525,55.01,55.38,0.13,+0.24%,7700631
"12/02/2021 10:00",54.725,55.25,54.54,55.25,0.525,+0.96%,8788217
"12/02/2021 09:00",54.04,54.74,53.4,54.725,0.715,+1.32%,8168388
"12/01/2021 15:00",54.6,54.71,53.98,54.01,-0.59,-1.08%,9724189
"12/01/2021 14:00",54.92,54.98,54.47,54.6,-0.33,-0.60%,6004746
"12/01/2021 13:00",55.2,55.245,54.75,54.93,-0.27,-0.49%,6338130
"12/01/2021 12:00",55.715,55.925,55.175,55.2,-0.51,-0.92%,4355776
"12/01/2021 11:00",56.33,56.38,55.61,55.71,-0.62,-1.10%,4296380
"12/01/2021 10:00",55.71,56.35,55.65,56.33,0.625,+1.12%,4992632
"12/01/2021 09:00",55.87,55.97,55.445,55.705,1.155,+2.12%,4708612
"11/30/2021 15:00",54.81,55.1,54.5,54.55,-0.26,-0.47%,10598332
"11/30/2021 14:00",54.71,54.89,54.63,54.81,0.09,+0.16%,4330724
"11/30/2021 13:00",54.62,54.725,54.32,54.72,0.1,+0.18%,3953654
"11/30/2021 12:00",54.645,54.825,54.39,54.62,-0.02,-0.04%,5096441
"11/30/2021 11:00",55.15,55.39,54.41,54.64,-0.51,-0.92%,6405190
"11/30/2021 10:00",55.15,55.68,54.925,55.15,0,0.00%,6071360
"11/30/2021 09:00",54.85,55.53,54.71,55.15,-0.75,-1.34%,4186944
"11/29/2021 15:00",56.305,56.435,55.88,55.9,-0.405,-0.72%,8197586
"11/29/2021 14:00",56.57,56.585,56.255,56.305,-0.26,-0.46%,2880201
"11/29/2021 13:00",56.535,56.59,56.35,56.565,0.02,+0.04%,2641739
"11/29/2021 12:00",56.165,56.625,56.105,56.545,0.385,+0.69%,2517451
"11/29/2021 11:00",56.11,56.165,55.72,56.16,0.05,+0.09%,3535307
"11/29/2021 10:00",56.22,56.36,55.76,56.11,-0.11,-0.20%,5508404
"11/29/2021 09:00",56.79,57.36,56.1,56.22,0.64,+1.15%,6340570
"11/26/2021 13:00",55.57,55.58,55.57,55.58,0.01,+0.02%,825458
"11/26/2021 12:00",54.7,55.76,54.695,55.57,0.87,+1.59%,9746714
"11/26/2021 11:00",54.47,54.815,54.37,54.7,0.22,+0.40%,9198462
"11/26/2021 10:00",54.6,54.64,54.15,54.48,-0.125,-0.23%,10996044
"11/26/2021 09:00",55.04,55.15,54.14,54.605,-3.305,-5.71%,10170598
"11/24/2021 15:00",57.72,57.96,57.69,57.91,0.19,+0.33%,3835443
"11/24/2021 14:00",57.875,57.92,57.715,57.72,-0.15,-0.26%,1438950
"11/24/2021 13:00",57.87,57.9423,57.81,57.87,-0.01,-0.02%,1049878
"11/24/2021 12:00",57.84,57.915,57.59,57.88,0.04,+0.07%,1531856
